device_code,区段编号,区段起点,区段终点,样本数,覆盖天数,下降速率(每天),下降速率(每年),截距,R2,是否负斜率
A10,6,2025-01-21 01:00:00,2025-02-20 14:00:00,376,30.5417,-0.5957595737146071,-217.45224440583158,95.48499728885488,0.9415625637364605,1
A10,7,2025-02-27 00:00:00,2025-04-08 00:00:00,470,40.0,-0.29726852354414984,-108.50301109361469,92.5614391446165,0.6461493204582973,1
A10,8,2025-04-14 00:00:00,2025-06-01 20:00:00,739,48.8333,-0.24017700575289816,-87.66460709980782,94.93267019749463,0.691986281783983,1
A10,9,2025-06-08 12:00:00,2025-08-16 00:00:00,1160,68.5,-0.06942655801202609,-25.340693674389524,101.51688053688372,0.16544871907466308,1
A10,10,2025-08-22 03:00:00,2025-10-29 00:00:00,1139,67.875,-0.6074427766708173,-221.7166134848483,105.35069847799271,0.960131970206073,1
A10,11,2025-11-04 00:00:00,2025-12-29 00:00:00,982,55.0,-0.756511332454212,-276.12663634578735,78.26018273207589,0.9837486380653496,1
A10,12,2026-01-04 00:00:00,2026-02-10 00:00:00,366,37.0,-0.5608667375191413,-204.71635919448656,48.24586797565058,0.9722887623456521,1
A10,13,2026-02-16 00:00:00,2026-03-23 00:00:00,141,35.0,-0.45177411788603117,-164.89755302840138,44.09711391016835,0.9120918080916907,1
A10,14,2026-03-29 00:00:00,2026-04-11 18:00:00,56,13.75,-0.18381211436896483,-67.09142174467216,52.68648520596171,0.5547438656001299,1
A2,1,2024-04-03 02:00:05,2024-05-31 22:00:08,746,58.8334,-0.142873862546797,-52.1489598295809,72.64908276146808,0.6507197357227801,1
A2,2,2024-06-07 00:00:00,2024-08-12 18:00:03,685,66.75,-0.0750916844318469,-27.408464817624118,85.80901780398199,0.13035701215977802,1
A2,3,2024-08-19 18:00:03,2024-10-31 00:00:00,1236,72.25,-0.41093483814234266,-149.99121592195507,104.1724130911021,0.902105011484441,1
A2,4,2024-11-06 00:00:00,2024-12-28 09:00:00,1038,52.375,-0.5282016214211379,-192.79359181871533,90.60837082642162,0.9506084855964005,1
A2,5,2025-01-04 00:00:00,2025-02-16 23:00:00,774,43.9583,-0.4429014092030032,-161.65901435909618,73.5127498050517,0.9529488805568108,1
A2,6,2025-02-23 00:00:00,2025-04-04 00:00:00,723,40.0,-0.2992047446195354,-109.20973178613042,72.78619572797666,0.8182844755591812,1
A2,7,2025-04-10 00:00:00,2025-05-24 23:00:00,719,44.9583,-0.20739153496864224,-75.69791026355442,76.51251588742095,0.6368124431780929,1
A2,8,2025-05-31 00:00:00,2025-07-18 00:00:00,771,48.0,-0.13549894768188178,-49.45711590388685,81.37192437610574,0.24469195511516273,1
A2,9,2025-07-24 00:00:00,2025-10-03 00:00:00,1241,71.0,-0.27104227716180895,-98.93043116406027,95.59920174655404,0.6399070585757214,1
A2,10,2025-10-09 08:00:00,2025-12-07 00:00:00,1145,58.6667,-0.6109241838011358,-222.98732708741457,85.10527666439033,0.9740887029413012,1
A2,11,2025-12-13 00:00:00,2026-01-26 00:00:00,680,44.0,-0.5296125262810032,-193.30857209256615,63.92061057566431,0.9481850523632038,1
A2,12,2026-02-01 00:00:00,2026-03-09 00:00:00,140,36.0,-0.5988715620974958,-218.58812016558596,57.682472126309285,0.9105369615914957,1
A2,13,2026-03-15 00:00:00,2026-04-10 18:00:00,108,26.75,-0.3568292731472591,-130.24268469874957,50.987021332999824,0.8235434909734021,1
A3,1,2024-04-04 00:00:03,2024-05-26 00:00:00,724,52.0,-0.14367895086223192,-52.44281706471465,120.69991199570124,0.4122002490703205,1
A3,2,2024-06-03 10:00:07,2024-07-14 21:00:03,640,41.4583,-0.08806908000667694,-32.14521420243708,120.80294593368362,0.06525484105738544,1
A3,3,2024-07-21 03:00:03,2024-09-27 00:00:00,768,67.875,-0.40919899190957904,-149.35763204699634,129.16294480816777,0.7280804211531874,1
A3,4,2024-10-05 03:00:08,2024-11-27 00:00:00,1032,52.8749,-0.5822640809513114,-212.52638954722866,102.29831167985621,0.964037987984102,1
A3,5,2024-12-03 00:00:00,2025-01-14 00:00:00,820,42.0,-0.5341844095350088,-194.9773094802782,90.51894766755841,0.964940028621745,1
A3,6,2025-01-20 00:00:00,2025-03-02 00:00:00,726,41.0,-0.5108224321180164,-186.45018772307597,92.03854397295977,0.8652467798159902,1
A3,7,2025-03-08 00:00:00,2025-05-03 00:00:00,1073,56.0,-0.20229505187840097,-73.83769393561636,87.96123058294296,0.7902455749238743,1
A3,8,2025-05-09 02:00:00,2025-06-29 00:00:00,1007,50.9167,-0.1279407512291918,-46.698374198655,98.48204923348011,0.2855346502427092,1
A3,9,2025-07-05 00:00:00,2025-09-12 00:00:00,1281,69.0,-0.1319629684344065,-48.16648347855837,104.36051372352136,0.34695881617784485,1
A3,10,2025-09-18 00:00:00,2025-11-14 00:00:00,1163,57.0,-0.6174777554897584,-225.3793807537618,120.36639442762251,0.9553410122211945,1
A3,11,2025-11-20 00:00:00,2026-01-17 00:00:00,1191,58.0,-0.6825998463863159,-249.1489439310053,100.12048203358387,0.9689323586128292,1
A3,12,2026-01-23 00:00:00,2026-02-21 00:00:00,117,29.0,-0.8141320968543418,-297.15821535183477,85.83940848166817,0.9387919308117154,1
A3,13,2026-02-27 00:00:00,2026-04-02 00:00:00,137,34.0,-0.21323657057429876,-77.83134825961905,76.40533644252092,0.7333876068921482,1
A4,1,2024-04-03 01:00:05,2024-05-24 23:00:08,714,51.9167,-0.1600639653646645,-58.42334735810254,48.402531132481215,0.7805371042417618,1
A4,2,2024-05-31 01:00:05,2024-07-12 18:00:03,580,42.7083,-0.09042627398750476,-33.00559000543924,83.53093275210021,0.05493649709736248,1
A4,3,2024-07-19 00:00:03,2024-09-17 23:00:08,607,60.9584,-0.31573697280953905,-115.24399507548175,110.78365429952308,0.630732251398904,1
A4,4,2024-09-24 00:00:00,2024-11-17 00:00:00,1044,54.0,-0.5994574255989817,-218.80196034362834,107.10153960909734,0.9557754242843238,1
A4,5,2024-11-24 11:00:00,2025-01-15 00:00:00,938,51.5417,-0.5427480832588224,-198.10305038947018,88.43127419027515,0.9585912535067667,1
A4,6,2025-01-21 00:00:00,2025-02-17 00:00:00,435,27.0,-0.3225392364601351,-117.72682130794931,97.94168836697102,0.7745972303752167,1
A4,7,2025-02-23 00:00:00,2025-04-07 00:00:00,802,43.0,-0.25419898646984096,-92.78263006149194,109.59748927891557,0.6409285827134029,1
A4,8,2025-04-13 00:00:00,2025-06-01 00:00:00,840,49.0,-0.10452525194264285,-38.15171695906464,104.500024565638,0.27874693044432597,1
A4,9,2025-06-07 00:00:00,2025-08-03 00:00:00,1094,57.0,-0.11125690162040182,-40.60876909144666,108.13614939532026,0.1878887921127288,1
A4,10,2025-08-09 00:00:00,2025-10-07 00:00:00,1039,59.0,-0.40790269343333974,-148.884483103169,127.99246419894604,0.8295163811809202,1
A4,11,2025-10-13 00:00:00,2025-12-06 00:00:00,1120,54.0,-0.5068787958254448,-185.01076047628734,104.22598764997541,0.9347224106301737,1
A4,12,2025-12-12 00:00:00,2026-01-18 00:00:00,696,37.0,-0.5490651680923809,-200.40878635371905,98.70738111851502,0.8928675719952223,1
A4,13,2026-01-24 00:00:00,2026-03-09 00:00:00,172,44.0,-0.48203689990752596,-175.94346846624697,108.03585913501797,0.8354600660538891,1
A4,14,2026-03-15 00:00:00,2026-04-10 18:00:00,104,26.75,-0.25517602425572866,-93.13924885334096,115.55215735114592,0.31574423852612765,1
A5,1,2024-04-03 01:00:05,2024-05-16 00:00:00,530,42.9583,-0.19046315694306662,-69.51905228421931,108.40169605745525,0.3526831454372178,1
A5,2,2024-05-22 00:00:02,2024-07-14 18:00:03,881,53.75,-0.09373616614001093,-34.21370064110399,116.31590518466975,0.12415426911558691,1
A5,3,2024-07-21 00:00:03,2024-09-17 23:00:08,591,58.9584,-0.1630999182280661,-59.53147015324413,120.04000364866222,0.334873746811423,1
A5,4,2024-09-24 00:00:00,2024-11-21 00:00:00,1117,58.0,-0.4375126947657461,-159.69213358949733,109.61903328822811,0.9174927532292171,1
A5,5,2024-11-27 08:00:00,2025-01-18 00:00:00,1070,51.6667,-0.49490413634147595,-180.64000976463873,115.32100082814614,0.8842961325236143,1
A5,6,2025-01-24 09:00:00,2025-02-22 00:00:00,444,28.625,-0.5153421898814111,-188.09989930671506,118.24412019558909,0.7386862165677541,1
A5,7,2025-02-28 14:00:00,2025-04-12 00:00:00,815,42.4167,-0.3042670540953679,-111.05747474480928,109.95461999081017,0.7485177518110321,1
A5,8,2025-04-18 00:00:00,2025-06-11 00:00:00,1062,54.0,-0.3192339650439711,-116.52039724104945,103.5319806924824,0.8229981861186357,1
A5,9,2025-06-17 00:00:00,2025-08-15 23:00:00,1150,59.9583,-0.13483138218117732,-49.21345449612972,104.12461134459068,0.275497539568092,1
A5,10,2025-08-22 00:00:00,2025-11-03 00:00:00,1412,73.0,-0.6166302916531867,-225.07005645341314,104.82067837523473,0.9670935688892175,1
A5,11,2025-11-09 00:00:00,2026-01-05 00:00:00,1180,57.0,-0.5835906314612388,-213.01058048335216,72.03399627506508,0.9733437887375693,1
A5,12,2026-01-11 00:00:00,2026-02-23 00:00:00,314,43.0,-0.6254541447200034,-228.29076282280124,65.04566299057723,0.9689459072802858,1
A5,13,2026-03-01 00:00:00,2026-03-31 00:00:00,121,30.0,-0.2764361221797619,-100.89918459561308,57.53908206731003,0.7123806972149529,1
A6,1,2024-04-04 00:00:03,2024-06-01 09:00:08,813,58.3751,-0.18339415340651632,-66.93886599337846,47.60452868553519,0.8071186971360005,1
A6,2,2024-06-09 00:00:01,2024-08-23 18:00:03,680,75.75,-0.0762411992420963,-27.82803772336515,61.86199494918554,0.27948460250420504,1
A6,3,2024-08-30 08:00:01,2024-11-03 00:00:00,1215,64.6667,-0.6010154885349465,-219.37065331525545,82.69029029084793,0.9722157957528187,1
A6,4,2024-11-09 00:00:00,2024-12-28 00:00:00,903,49.0,-0.6139663903298495,-224.09773247039504,61.21347823289903,0.9853703246054524,1
A6,5,2025-01-03 00:00:00,2025-02-16 00:00:00,747,44.0,-0.4759315701216825,-173.7150230944141,70.57103460080238,0.9423821582850664,1
A6,6,2025-02-22 00:00:00,2025-04-08 00:00:00,835,45.0,-0.3096441290375705,-113.02010709871323,71.35639572112649,0.8071229817523813,1
A6,7,2025-04-14 04:00:00,2025-06-01 00:00:00,846,47.8333,-0.2248727202852253,-82.07854290410724,82.07960439112523,0.6816969691865185,1
A6,8,2025-06-07 00:00:00,2025-08-20 00:00:00,1408,74.0,-0.11389701547535715,-41.57241064850536,96.56170898946506,0.35466324341714883,1
A6,9,2025-08-26 00:00:00,2025-10-30 00:00:00,1267,65.0,-0.5987711807080651,-218.55148095844376,128.6813187307503,0.9160512424134332,1
A6,10,2025-11-05 00:00:00,2025-12-31 00:00:00,1118,56.0,-0.5288010424630221,-193.01238049900306,103.09834287403123,0.9429802792631231,1
A6,11,2026-01-06 00:00:00,2026-02-12 00:00:00,368,37.0,-0.70756181611009,-258.26006288018283,95.07688142975869,0.9339487092594099,1
A6,12,2026-02-18 00:00:00,2026-03-22 00:00:00,128,32.0,-0.3044989109609609,-111.14210250075072,82.64856681414705,0.623727921963066,1
A6,13,2026-03-28 00:00:00,2026-04-10 18:00:00,56,13.75,-0.3341028178718062,-121.94752852320926,87.20890605918571,0.5846928441118908,1
A7,1,2024-04-05 00:00:03,2024-05-15 00:00:00,409,40.0,-0.1813801640326816,-66.20375987192878,90.35259673810033,0.2036583091555214,1
A7,2,2024-05-21 00:00:01,2024-06-30 23:00:05,762,40.9584,-0.15191756404207682,-55.449910875358036,93.31853068726764,0.34161026119653326,1
A7,3,2024-07-07 00:00:03,2024-09-20 21:00:08,706,75.8751,-0.19583063888226995,-71.47818319202854,107.43448003391099,0.5730345225670256,1
A7,4,2024-09-27 00:00:00,2024-11-19 00:00:00,1039,53.0,-0.6380270386093825,-232.8798690924246,122.24124255319998,0.9620102504771485,1
A7,5,2024-11-25 00:00:00,2025-01-17 00:00:00,1005,53.0,-0.4741357363247213,-173.05954375852326,102.67426747521033,0.905244046196763,1
A7,6,2025-01-23 00:00:00,2025-02-21 00:00:00,501,29.0,-0.35551402393392817,-129.7626187358838,78.11198922006314,0.8528006507792303,1
A7,7,2025-02-27 00:00:00,2025-04-13 00:00:00,868,45.0,-0.24806467578345243,-90.54360666096014,95.11823496945586,0.6519207930708254,1
A7,8,2025-04-19 00:00:00,2025-06-13 00:00:00,1001,55.0,-0.08385909720490595,-30.60857047979067,101.99332664240546,0.30603465374827876,1
A7,9,2025-06-19 00:00:00,2025-08-28 21:00:00,1368,70.875,-0.122949883068657,-44.87670732005981,103.20512212951222,0.3748159352073147,1
A7,10,2025-09-04 00:00:00,2025-10-15 00:00:00,830,41.0,-0.501625530272961,-183.09331854963077,99.53534561609725,0.8900542034231493,1
A7,11,2025-10-21 08:00:00,2025-12-19 00:00:00,1189,58.6667,-0.5808029277804894,-211.99306863987863,101.2273930446661,0.9228717534508052,1
A7,12,2025-12-25 00:00:00,2026-02-04 12:00:00,563,41.5,-0.7116376453513112,-259.7477405532286,68.38121789472609,0.9525887093268608,1
A7,13,2026-02-11 00:00:00,2026-03-22 00:00:00,156,39.0,-0.382305452345627,-139.54149010615387,66.222385014944,0.8115973675182651,1
A7,14,2026-03-28 00:00:00,2026-04-10 18:00:00,56,13.75,-0.3448364325407142,-125.86529787736069,67.90251099434559,0.7355663964687862,1
A8,1,2024-04-05 05:00:05,2024-05-29 23:00:05,742,54.75,-0.08131645413030293,-29.68050575756057,119.2782180517601,0.37531638381848087,1
A8,2,2024-06-05 00:00:00,2024-08-06 18:00:03,714,62.75,-0.043499571216342306,-15.877343493964942,130.1001959421343,0.02533284101072164,1
A8,3,2024-08-13 00:00:03,2024-10-27 22:00:00,1299,75.9166,-0.7071727660858506,-258.1180596213355,140.91335384037066,0.947722018433408,1
A8,4,2024-11-03 00:00:00,2024-12-31 00:00:00,1150,58.0,-0.4334625517081365,-158.21383137346984,112.95647063322002,0.8707945204528934,1
A8,5,2025-01-06 17:00:00,2025-02-10 00:00:00,545,34.2917,-0.49424831101583294,-180.40063352077902,86.94510705585739,0.8247950428910323,1
A8,6,2025-02-16 07:00:00,2025-03-24 00:00:00,604,35.7083,-0.3974337149655422,-145.0633059624229,97.18004933800933,0.8458191479659605,1
A8,7,2025-03-30 00:00:00,2025-05-09 23:00:00,614,40.9583,-0.23850967352776994,-87.05603083763603,95.12485915698826,0.6916174557568611,1
A8,8,2025-05-16 00:00:00,2025-07-03 00:00:00,892,48.0,-0.15768444281336236,-57.55482162687726,106.49012319287293,0.2347864051672991,1
A8,9,2025-07-09 10:00:00,2025-09-05 00:00:00,1064,57.5833,-0.19688025018438035,-71.86129131729882,105.34984971566591,0.5466963669599916,1
A8,10,2025-09-11 00:00:00,2025-10-31 00:00:00,1009,50.0,-0.6336296802790937,-231.27483330186922,95.99342807298571,0.9597393933123999,1
A8,11,2025-11-06 00:00:00,2025-12-25 00:00:00,879,49.0,-0.462176513695921,-168.69442749901117,87.63357707306629,0.9401391603847631,1
A8,12,2025-12-31 00:00:00,2026-02-06 00:00:00,451,37.0,-0.6799098801287101,-248.1671062469792,73.49685506660329,0.947721625147256,1
A8,13,2026-02-12 00:00:00,2026-03-28 00:00:00,173,44.0,-0.4180498035321201,-152.58817828922383,62.58826539251807,0.8625923472309444,1
A8,14,2026-04-03 00:00:00,2026-04-10 18:00:00,32,7.75,-0.1698728419900787,-62.00358732637873,63.32168659812069,0.08149153885503713,1
A9,1,2024-04-05 04:00:05,2024-05-26 23:00:08,674,51.7917,-0.1403513518970659,-51.228243442429054,84.30417838362108,0.5779727417429534,1
A9,2,2024-06-03 10:00:07,2024-07-29 18:00:03,684,56.3333,-0.09392839039342842,-34.28386249360137,102.12062574058336,0.22853342618374595,1
A9,3,2024-08-05 00:00:03,2024-10-11 13:00:08,1013,67.5417,-0.2972987818136955,-108.51405536199886,110.96862484029577,0.7056357820363506,1
A9,4,2024-10-18 00:00:01,2024-12-12 00:00:00,1045,55.0,-0.5182383666281534,-189.15700381927599,103.47853680690162,0.956612587998195,1
A9,5,2024-12-18 00:00:00,2025-01-27 16:00:00,699,40.6667,-0.653389982261503,-238.4873435254486,81.48255157302667,0.9342663234895201,1
A9,6,2025-02-04 00:00:00,2025-03-16 00:00:00,671,40.0,-0.48046129125302467,-175.368371307354,80.89535911046082,0.9032905255041205,1
A9,7,2025-03-22 00:00:00,2025-05-12 00:00:00,795,51.0,-0.24631311022320665,-89.90428523147042,79.26278711363855,0.7074507777333485,1
A9,8,2025-05-18 00:00:00,2025-07-06 00:00:00,905,49.0,-0.14168436450638267,-51.714793044829676,82.27089573633201,0.5057291888014802,1
A9,9,2025-07-12 00:00:00,2025-09-09 00:00:00,866,59.0,-0.09253492695936401,-33.77524834016786,92.11422782312424,0.17684791459510207,1
A9,10,2025-09-15 00:00:00,2025-11-13 00:00:00,1134,59.0,-0.5549146946796047,-202.54386355805573,103.32161288275195,0.9490231141771414,1
A9,11,2025-11-19 00:00:00,2026-01-06 00:00:00,912,48.0,-0.6118902127651203,-223.33992765926894,88.94591694405189,0.9680966118110814,1
A9,12,2026-01-12 00:00:00,2026-02-20 00:00:00,293,39.0,-0.4810761081362294,-175.59277946972375,68.82536812662036,0.9347557506337897,1
A9,13,2026-02-26 00:00:00,2026-03-29 00:00:00,123,31.0,-0.19618315586159063,-71.60685188948058,75.34309909596503,0.39147511141014557,1
